route_name,bstop_arrive_time,bstop_leave_time,stop_time,node_name,node_x_pos,node_y_pos
399,20200104065446,20200104065454,8,시립박물관,128.7647,35.81557
399,20200104065452,20200104065509,18,구.남부정류장앞1,128.649,35.85768
399,20200104065452,20200104065458,6,남방(자인방향),128.7876,35.81116
남산2,20200104065452,20200104065500,8,대구대(정문2),128.84783,35.89705
991,20200104065503,20200104065513,11,수성대학교건너,128.65216,35.85614
399,20200104065506,20200104065538,33,옥산네거리(대구방향),128.72768,35.82265
990,20200104065514,20200104065542,29,자인면사무소 건너,128.82344,35.82043
990,20200104065516,20200104065530,14,용천1리(용성방향),128.91353,35.76461
압량1,20200104065520,20200104065603,45,중앙초교,128.73333,35.82217
399,20200104065530,20200104065546,17,사동부영1차A,128.76299,35.81181
399,20200104065532,20200104065556,25,만촌2동행정복지센터,128.64684,35.85958
991,20200104065533,20200104065545,12,구.남부정류장앞1,128.64902,35.85774
남산2,20200104065536,20200104065546,11,대구대서문,128.84328,35.8988
991,20200104065539,20200104065549,11,영남대동문 건너,128.76504,35.83585
399,20200104065551,20200104065603,12,당리리(자인방향),128.79803,35.81207
399,20200104065610,20200104065625,16,중앙초교 건너,128.73231,35.82156
990,20200104065611,20200104065626,15,도산(용성방향),128.90711,35.76297
399,20200104065612,20200104065620,8,당리경노당 건너,128.80038,35.81254
399,20200104065614,20200104065621,7,만촌태왕리더스건너,128.64859,35.86219
남산2,20200104065616,20200104065700,46,내리리입구,128.83858,35.90026
399,20200104065623,20200104065632,9,서부2동행정복지센터(옥산2지구),128.72575,35.82599
991,20200104065629,20200104065641,13,신대푸르지오아파트 앞,128.76652,35.83801
압량1,20200104065631,20200104065652,22,국민건강보험공단(경산역),128.7305,35.8208
399,20200104065644,20200104065745,63,경산시장,128.73477,35.82281
399,20200104065700,20200104065707,8,경남신성A,128.72343,35.83051
399,20200104065701,20200104065708,7,계남입구(자인방향),128.80835,35.81472
991,20200104065726,20200104065847,84,신대리부영아파트 건너(경산방향),128.76708,35.8397
남산2,20200104065727,20200104065734,8,상림리,128.83422,35.9009
압량1,20200104065745,20200104065813,29,옥산네거리(대구방향),128.7276,35.82263
399,20200104065749,20200104065756,8,무열대앞,128.64969,35.86753
991,20200104065757,20200104065808,11,범어4동행정복지센터건너,128.64321,35.85906
399,20200104065802,20200104065959,124,조곡종점,128.8139,35.76974
399,20200104065803,20200104065818,16,대구지방법원등기국앞,128.63422,35.87844
399,20200104065819,20200104065847,28,만촌1동 느지안전마을,128.64848,35.8717
남산2,20200104065819,20200104065827,9,대구대삼거리(대구방향),128.82654,35.90158
399,20200104065828,20200104065836,8,농업기술센터 건너,128.81302,35.81565
991,20200104065833,20200104065847,15,경신고등학교건너,128.63808,35.85898
399,20200104065846,20200104065920,35,사동중 건너,128.76008,35.81445
399,20200104065849,20200104065916,28,동구기억쉼터 앞,128.63814,35.87793
399,20200104065850,20200104065925,36,사월역(4번출구),128.71823,35.83661
남산2,20200104065854,20200104065905,11,부기2리 건너,128.82475,35.90222
압량1,20200104065859,20200104065910,12,서부2동행정복지센터(옥산2지구),128.72592,35.82603
991,20200104065910,20200104065934,25,수성경찰서건너,128.63421,35.8589
399,20200104065911,20200104065923,13,자인삼거리(자인방향),128.818,35.81524
